,索引,姓名,科室名称,科室标准名称,省（市）,市（区）,医院名称,职位,链接,标准科室名称
0,14,代荫梅,妇科东门诊,妇科,北京,朝阳区,北京妇产医院东院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=966752ee-c720-11e1-913c-5cf9dd2e7135000&hospDeptId=2d2ba225-5287-444d-8c08-b5cee178d4ef000&hospId==90908bbf-6568-4471-be71-91f6e79eb50500,妇科
1,66,杨锴,整形美容科,整形美容科,北京,西城区,北京大学人民医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=974156fe-c720-11e1-913c-5cf9dd2e7135000&hospDeptId=51002a17-5fdb-4dde-9652-d69000411ca2000&hospId==522c96ab-97a5-474c-9959-0c18a5ef5a0500,整形美容科
2,128,吕富靖,消化内科,消化内科,北京,西城区,首都医科大学附属北京友谊医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=38b32db0-d8f2-4eef-a409-61b61cc1c35f000&hospDeptId=a5a7a9c9-2d64-40a2-acd8-0c80493aaef9000&hospId==54e68522-c49a-4ca9-bba2-e8faf76a71b200,消化内科
3,134,吴继功,脊柱外科,脊柱外科,北京,朝阳区,战略支援部队特色医学中心（原解放军第306医院）,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=c3555b0d-e918-49d9-99f1-24359855412d000&hospDeptId=37bae5f8-b1f4-4c5d-88f1-7a8532fc088e000&hospId==aa0a1d2d-dcb8-4fa1-9332-6799900b48bc00,脊柱外科
4,186,普通门诊,泌尿外科门诊,泌尿外科,北京,海淀区,航天中心医院,暂无,https://www.guahao.com/expert/new/shiftcase?expertId=3acd2bea-fa10-4711-adbb-08d10b99390c000&hospDeptId=fe1ab39c-59c6-425e-b104-c1a5c7522336000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,泌尿外科
5,223,普通门诊,血液净化门诊,血液净化科,北京,海淀区,航天中心医院,暂无,https://www.guahao.com/expert/new/shiftcase?expertId=47774e1c-3b49-441b-9adb-36bdf8109dcf000&hospDeptId=ecc77f44-e385-4e39-bcff-d5fc33fe6160000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,血液净化科
6,318,贾敏江,中医科,中医科,北京,朝阳区,固生堂北京中海中医医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=964c6a56-77ca-472d-9551-1e896e593c9f000&hospDeptId=744628ac-b73b-4b0b-b2c2-de3dfa2f3dc0000&hospId==6a674c2f-f8c1-45da-8052-33c297836e8700,中医科
7,432,儿科普通号,儿科,儿科,北京,朝阳区,战略支援部队特色医学中心（原解放军第306医院）,主治医师,https://www.guahao.com/expert/new/shiftcase?expertId=03ccbe24-e85a-424a-90fb-17ceabdaef17000&hospDeptId=8e11a4e5-cdf2-4f42-9226-24bde8828f91000&hospId==aa0a1d2d-dcb8-4fa1-9332-6799900b48bc00,儿科
8,453,吴振宇,肝胆外科门诊,肝胆外科,北京,海淀区,航天中心医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=6e29564e-307d-4412-8088-d59f66243211000&hospDeptId=2f7d43d5-fd53-47ca-a670-8b5f5b02741d000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,肝胆外科
9,490,张立山,呼吸科门诊,呼吸科,北京,东城区,北京中医药大学东直门医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=c4242aac-1487-4f48-b9e4-8a3121d627ec000&hospDeptId=1ec14e41-e8ee-48d2-acdb-61431baa2a37000&hospId==3a83f435-10fd-4c30-9a57-558e30cb2eca00,呼吸科
10,502,陈涛,眼整形,眼整形科,北京,东城区,北京华尔眼科医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=7b4d7c04-0e63-4538-8f78-b461d66c7feb000&hospDeptId=11d57aaa-92cc-47c3-808f-deb41686e816000&hospId==f351f37e-640f-44e4-aa49-568dd40b6b9f00,眼整形科
11,516,史英杰,儿科,儿科,北京,西城区,中国中医科学院广安门医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=08d8f2c4-2db7-4a8d-aaff-5a04b3bc8adb000&hospDeptId=26dffa0c-c25f-4628-af8f-be3f0b8fe0d8000&hospId==0d9e9586-281f-423a-958f-ad1ca4cda22e00,儿科
12,517,陈永国,皮肤性病科门诊,皮肤性病科,北京,海淀区,航天中心医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=7be6a81d-9648-4108-a813-1f44e7182aa9000&hospDeptId=c821c5a7-46cc-44a4-9001-e13969b3d8f5000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,皮肤性病科
13,538,普通门诊,中医肿瘤门诊,中医肿瘤科,北京,海淀区,航天中心医院,暂无,https://www.guahao.com/expert/new/shiftcase?expertId=68849e8d-1eec-4c14-be37-ab81f431d030000&hospDeptId=0c1e1d73-11ff-424a-9d71-fcdb847d7291000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,中医肿瘤科
14,568,张怡堃,血液科,血液科,北京,朝阳区,战略支援部队特色医学中心（原解放军第306医院）,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=2daf4d50-9ee7-41b8-8c2c-e5407c06bd05000&hospDeptId=5e5b4777-2082-4d19-875a-f0e1528439e5000&hospId==aa0a1d2d-dcb8-4fa1-9332-6799900b48bc00,血液科
15,613,普通门诊,血液科门诊,血液科,北京,海淀区,航天中心医院,暂无,https://www.guahao.com/expert/new/shiftcase?expertId=03615389-80a2-407d-88e9-efa5bd9e4031000&hospDeptId=c69a24dd-b618-4dc8-91e0-b1d7c7ea8fba000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,血液科
16,618,杨晓辉,中医门诊,中医科,北京,海淀区,航天中心医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=a3a85178-f5be-49a7-9f2d-fcd339e91159000&hospDeptId=112e44cb-75ce-4f53-a9e0-b72834edf1dd000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,中医科
17,650,普通号,疼痛门诊,疼痛科,北京,石景山区,清华大学玉泉医院,主治医师,https://www.guahao.com/expert/new/shiftcase?expertId=d91f86e6-6ac3-4881-95a7-776d872106e6000&hospDeptId=f34ce646-19eb-47a8-a8e5-bb378440a60f000&hospId==4cb5d020-bf13-47b7-b0b1-e5a26a48bc5d00,疼痛科
18,676,赖兴建,超声医学科,超声医学科,北京,东城区,北京华尔眼科医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=4de8861a-def9-49a7-8669-00204e891f7a000&hospDeptId=65db3c3d-f5bc-45ec-b3e2-907dc04a00b8000&hospId==f351f37e-640f-44e4-aa49-568dd40b6b9f00,超声医学科
19,704,程姝娟,心内科,心内科,北京,朝阳区,首都医科大学附属北京安贞医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=97a395f6-c720-11e1-913c-5cf9dd2e7135000&hospDeptId=c6188c26-748e-44d8-8d4a-93c3b9f0dc5c000&hospId==82e2981c-9b46-4fe0-affc-c52109994fd500,心内科
20,730,李亚朋,皮肤科,皮肤科,北京,西城区,北京德胜门中医院,医师,https://www.guahao.com/expert/new/shiftcase?expertId=2a70f789-fce0-438d-935d-b6c05e36bcea000&hospDeptId=f0c0b8f7-98b9-4d2d-be57-2ea8c0927e1b000&hospId==afd0a29c-6b33-4cdb-813e-b1369b59816d00,皮肤科
21,850,杨旭,神经内科门诊,神经内科,北京,海淀区,航天中心医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=3ea766e2-4a61-4c1c-baf2-98910b703138000&hospDeptId=01d910e6-c3f5-45b7-ae0c-9a8c3ff9dd9d000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,神经内科
22,1032,程钢炜,眼科,眼科,北京,东城区,北京协和医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=97acfe0d-c720-11e1-913c-5cf9dd2e7135000&hospDeptId=5de31e3a-974c-423e-a938-4cf7da98665b000&hospId==17634310-b567-4d21-8a02-20dc15e90da500,眼科
23,1141,王光涛,中医骨伤科,中医骨伤科,北京,朝阳区,战略支援部队特色医学中心（原解放军第306医院）,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=f9f9b009-40e4-446a-934d-1e14adaba817000&hospDeptId=89236a8d-9480-480d-928f-d994c0862804000&hospId==aa0a1d2d-dcb8-4fa1-9332-6799900b48bc00,中医骨伤科
24,1165,韦晓昱,妇产科,妇产科,北京,西城区,北京大学第一医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=63120465-5c38-4614-bb87-7e9a983006b5000&hospDeptId=f2552ee4-36e1-4258-9322-82b4939796a8000&hospId==384b93f5-e9f8-448e-8635-56ffea47f66100,妇产科
25,1175,普通门诊,中医肺肾病门诊,中医肺肾病科,北京,海淀区,航天中心医院,暂无,https://www.guahao.com/expert/new/shiftcase?expertId=ca26c348-25fa-4d54-b409-1263769ec9b4000&hospDeptId=f36a0a21-fbae-46a5-a16f-be454d4db6b9000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,中医肺肾病科
