类别,内容
科室挂号,想在本院做四维彩超，能帮我预约挂号吗。
科室挂号,右眼青光眼现在是否可以预约挂号
科室挂号,我要挂号可以吗我明天来就诊，需要现在挂号吗？
科室挂号,天水市第一人民医院预约挂号
科室挂号,苏州一院挂号检查皮肤科
科室挂号,温岭市第一人民医院预约挂号
疾病问诊、科室挂号,咨询儿童发育迟缓的问题，可以挂号到儿童医院哪位医生？
疾病问诊、科室挂号,抽搐需要挂号那个科室需要挂哪个科室帮我挂号
疾病问诊、科室挂号,我是甲状腺瘤，我想看看是否要手术治疗，请问我能直接挂号吗？还是要预约挂号。怎样挂号检查一下
疾病问诊、科室挂号,亚甲炎已检查，治疗过需怎样挂号，预约还是直接到医院挂号
疾病问诊、科室挂号,请问网上可以挂号吗结婚3年了一直没怀孕
疾病问诊、科室挂号,青光眼治疗的好吗来你们医院挂号就能看吗、
疾病问诊、科室挂号,患者男一岁三个月，是个早产儿，出生时3。7斤，在武汉妇幼温箱住了13天，回家后发现有疝气，哭闹时特大，没有做过治疗，1。请问可以手术治疗吗？2。能否网上预约挂号？3。需要提前身体检查和住院吗？4。如果住院需要住几天才能做手术？
疾病问诊、科室挂号,我是学生，头顶上有一小块头发脱落。至今未长头发还在漫延，不知是何病症，需检查治疗预约挂号治疗
疾病问诊、科室挂号,安徽妇幼保健院体检挂号幼儿园入园体检挂号，两个小孩，开始时间，注意事项，流程等，谢谢
疾病问诊、科室挂号,做个包皮手术怎么挂号做包皮手术
疾病问诊、科室挂号,我要在网上挂号。甲状腺颈淋巴结挂哪个科室。以前检查过。提前预约挂号。甲状腺颈淋巴结挂哪个科室
疾病问诊、科室挂号,太原山大二院如何网上挂号要除面部痣
疾病问诊、科室挂号,脑内囊肿引起耳聋去医院做了检查照过CT挂号挂那科怎么在网上挂
疾病问诊、科室挂号,小孩一百天不到背后有血管瘤想预约你的号预约不到由于是外地的也只能预约。想预约挂号
疾病问诊、科室挂号,攀枝花中心医院预约挂号儿科支气管炎
疾病问诊、科室挂号,吉大一院网上预约挂号我想挂号，到你们医院做四维检查我想做四维检查
疾病问诊、科室挂号,请问贵州省人民医院生殖科预约挂号怎样弄。我想来看病，关于不孕不育的问题。谢谢。
疾病问诊,山东省济南省立医院乳腺科挂号田兴松双乳疼痛一年乳腺病怎么预防呢
疾病问诊,怀孕12周6前面一直预约不到早期唐筛唐氏筛查到底是检查什么的呢）已经建过小卡，但是建小卡的社区医院没有办法做唐筛必须要去其他医院做，目前还没有建大卡可以直接做中期吗？效果如何？预约产科还是妇产科？还需要挂号吗？
疾病问诊,浙二网上挂号预约我最近嗓子不舒服感觉就像扁桃体发炎一样吃东西也可以就是不能吃太硬的做过胃镜嗓子那里也拍过片子医生说没有什么事就拿了一些药吃一点效果也没有想重新再你们医院检查一下
疾病问诊,湖北人民医院预约挂号精液带血想在你们医院检查一下是看什么科
疾病问诊,今年孩子11岁了血管瘤04年07年做过2次放疗现在做过的皮肤特别干怎么办？
疾病问诊,小孩斜视要怎么挂号预约想要去检查一下
疾病问诊,市三人民医院皮肤科在线挂号嘴唇上长了个像血管瘤请问好治吗
疾病问诊,看甲亢要挂什么科？我想预约挂号，但不知道要挂那个科
